name,gender,age,birth_year,generation,years_of_education,employment_status
Fan,Female,16,2008,Gen X,18,Student
Aurlie,Female,35,1989,Gen Z,19,Retired
Marlyn,Female,63,1961,Baby Boomer,15,Student
Kittie,Female,46,1978,Gen Z,18,Retired
Lenna,Female,43,1981,Gen X,15,Retired
Abagail,Female,38,1986,Gen X,8,Student
Xylia,Female,59,1965,Baby Boomer,7,Student
Felizio,Bigender,55,1969,Gen X,3,Unemployed
Shepard,Male,59,1965,Millennial,20,Unemployed
Mirella,Female,55,1969,Baby Boomer,1,Retired
Karlene,Female,56,1968,Baby Boomer,9,Unemployed
Fayina,Female,51,1973,Gen Z,16,Employed
Nicky,Male,63,1961,Gen Z,5,Retired
Caresa,Female,25,1999,Baby Boomer,7,Retired
Gaile,Male,63,1961,Gen X,14,Student
Meris,Female,56,1968,Gen X,18,Student
Paolo,Male,18,2006,Baby Boomer,2,Retired
Veronike,Non-binary,49,1975,Gen Z,18,Unemployed
Ferne,Female,44,1980,Millennial,18,Employed
Roseanne,Female,59,1965,Baby Boomer,20,Student
Pietra,Female,50,1974,Gen X,6,Unemployed
Janella,Female,28,1996,Gen Z,14,Student
Humphrey,Male,40,1984,Baby Boomer,9,Retired
Terza,Female,49,1975,Millennial,11,Student
Giffie,Male,44,1980,Baby Boomer,19,Unemployed
Miriam,Female,23,2001,Baby Boomer,7,Retired
Tracy,Female,67,1957,Gen Z,0,Employed
Ernesto,Male,53,1971,Millennial,16,Student
Naoma,Female,28,1996,Gen X,0,Retired
Rosamund,Female,48,1976,Baby Boomer,2,Retired
Elberta,Non-binary,60,1964,Baby Boomer,20,Unemployed
Sianna,Genderqueer,50,1974,Gen X,2,Unemployed
Wrennie,Female,23,2001,Gen X,2,Student
Rochella,Female,69,1955,Gen X,17,Retired
Richmond,Male,35,1989,Millennial,9,Employed
Jefferson,Genderqueer,53,1971,Gen X,1,Employed
Sheppard,Male,36,1988,Baby Boomer,6,Unemployed
Briney,Female,18,2006,Gen X,11,Employed
Baily,Male,37,1987,Gen Z,8,Employed
Adriane,Female,70,1954,Baby Boomer,12,Employed
Darby,Bigender,41,1983,Millennial,5,Retired
Devland,Male,61,1963,Millennial,0,Retired
Rudolfo,Male,54,1970,Gen X,12,Retired
Darnell,Male,57,1967,Gen Z,4,Unemployed
Yvette,Female,43,1981,Gen X,0,Unemployed
Shepherd,Male,23,2001,Millennial,9,Employed
Shae,Male,33,1991,Gen X,16,Employed
Jed,Male,23,2001,Gen X,4,Student
Daphna,Female,25,1999,Millennial,4,Unemployed
Sylvan,Male,20,2004,Baby Boomer,3,Retired
Eamon,Polygender,51,1973,Gen Z,17,Retired
Deny,Female,70,1954,Gen X,13,Unemployed
Celene,Agender,48,1976,Gen X,9,Unemployed
Margot,Female,62,1962,Gen Z,3,Retired
Hannah,Female,55,1969,Millennial,1,Student
Jocelin,Female,70,1954,Gen Z,17,Student
Cherilyn,Female,22,2002,Gen X,11,Employed
Evelyn,Female,49,1975,Baby Boomer,0,Retired
Gregorio,Male,20,2004,Baby Boomer,13,Student
Golda,Female,65,1959,Millennial,17,Retired
Skye,Male,60,1964,Baby Boomer,17,Employed
Claudetta,Genderfluid,42,1982,Gen Z,14,Student
Miriam,Female,66,1958,Gen Z,12,Student
Babbie,Bigender,58,1966,Gen Z,11,Employed
Brittani,Female,36,1988,Baby Boomer,18,Employed
Salvador,Male,39,1985,Gen X,12,Student
Sigismundo,Male,58,1966,Baby Boomer,18,Unemployed
Brynne,Female,52,1972,Baby Boomer,4,Retired
Tuesday,Female,51,1973,Baby Boomer,8,Retired
Gretchen,Female,66,1958,Baby Boomer,3,Unemployed
Sunshine,Female,25,1999,Gen X,5,Employed
Ron,Male,61,1963,Millennial,0,Student
Sibelle,Female,50,1974,Gen Z,11,Employed
Niko,Male,31,1993,Gen Z,15,Student
Dag,Male,31,1993,Gen Z,0,Unemployed
Albertina,Female,62,1962,Millennial,18,Employed
Ladonna,Bigender,16,2008,Baby Boomer,12,Unemployed
Arvie,Male,40,1984,Baby Boomer,13,Student
Guthrie,Male,54,1970,Baby Boomer,2,Unemployed
Quentin,Female,51,1973,Baby Boomer,6,Unemployed
Roderic,Bigender,24,2000,Gen Z,14,Retired
Renato,Male,43,1981,Gen X,3,Retired
Sallyann,Female,63,1961,Millennial,0,Student
Chadd,Male,37,1987,Millennial,9,Unemployed
Eda,Female,27,1997,Baby Boomer,0,Retired
Mareah,Female,17,2007,Millennial,9,Unemployed
Ruth,Female,47,1977,Gen X,2,Employed
Bart,Male,56,1968,Baby Boomer,3,Student
Dierdre,Genderfluid,59,1965,Millennial,20,Student
Callean,Male,51,1973,Gen Z,5,Retired
Magdaia,Female,35,1989,Baby Boomer,12,Retired
Dex,Male,42,1982,Gen Z,15,Unemployed
Kermit,Male,53,1971,Baby Boomer,19,Employed
Joell,Female,23,2001,Millennial,8,Student
Nikita,Male,32,1992,Gen X,6,Student
Jannel,Female,21,2003,Baby Boomer,1,Employed
Rube,Male,68,1956,Baby Boomer,0,Student
Olva,Female,62,1962,Millennial,12,Retired
Glynda,Female,51,1973,Millennial,18,Retired
Bondie,Male,50,1974,Baby Boomer,3,Employed
Aldon,Male,38,1986,Millennial,1,Unemployed
Aharon,Male,28,1996,Gen X,19,Student
Rockwell,Male,39,1985,Baby Boomer,0,Employed
Guy,Male,40,1984,Baby Boomer,11,Unemployed
Gregoor,Male,68,1956,Baby Boomer,8,Student
Aline,Female,60,1964,Baby Boomer,6,Unemployed
Brenda,Female,22,2002,Gen X,9,Retired
Kameko,Agender,68,1956,Gen X,2,Student
Sheilakathryn,Female,22,2002,Baby Boomer,13,Retired
Urbanus,Male,28,1996,Gen X,1,Student
Shina,Female,65,1959,Baby Boomer,18,Student
Rebekah,Non-binary,30,1994,Gen X,1,Retired
Diannne,Female,56,1968,Gen X,8,Unemployed
Stacey,Female,31,1993,Gen Z,2,Employed
Evangelina,Bigender,44,1980,Millennial,20,Student
Eldon,Male,35,1989,Millennial,11,Student
Kerry,Genderfluid,50,1974,Gen X,8,Employed
Florinda,Polygender,62,1962,Baby Boomer,19,Unemployed
Kare,Female,26,1998,Millennial,4,Employed
Verge,Male,69,1955,Gen X,16,Retired
Dixie,Female,50,1974,Baby Boomer,0,Retired
Sabra,Female,33,1991,Gen X,9,Unemployed
Llywellyn,Male,37,1987,Gen X,15,Retired
Bart,Male,44,1980,Millennial,1,Employed
Cart,Male,49,1975,Gen Z,14,Unemployed
Barth,Male,70,1954,Gen X,17,Student
Tedmund,Male,31,1993,Gen Z,13,Student
Carey,Bigender,22,2002,Baby Boomer,20,Student
Isidor,Male,25,1999,Millennial,14,Student
Temp,Male,50,1974,Millennial,8,Student
Ernest,Male,16,2008,Gen Z,8,Retired
Hernando,Male,19,2005,Millennial,20,Employed
Velma,Female,16,2008,Baby Boomer,13,Employed
Horten,Male,55,1969,Gen X,16,Student
Joeann,Female,48,1976,Millennial,8,Employed
Ondrea,Female,65,1959,Gen Z,14,Student
Agnes,Female,26,1998,Baby Boomer,14,Student
Cornelia,Female,30,1994,Gen Z,9,Retired
Maure,Female,17,2007,Millennial,17,Retired
Gabriello,Male,28,1996,Gen X,4,Employed
Cacilia,Female,30,1994,Gen X,11,Employed
Ana,Female,42,1982,Millennial,19,Retired
Fiona,Female,48,1976,Gen X,7,Unemployed
Jefferey,Polygender,66,1958,Baby Boomer,19,Unemployed
Melania,Female,44,1980,Baby Boomer,19,Employed
Prudy,Female,63,1961,Gen X,7,Student
Anestassia,Female,64,1960,Baby Boomer,14,Employed
Marcus,Male,36,1988,Baby Boomer,19,Unemployed
Kacey,Female,49,1975,Gen X,3,Retired
Trista,Female,56,1968,Baby Boomer,18,Retired
Mona,Female,55,1969,Millennial,3,Student
Lida,Female,22,2002,Gen Z,6,Retired
Ave,Male,50,1974,Baby Boomer,13,Employed
Jennifer,Female,51,1973,Gen Z,11,Retired
Chastity,Female,62,1962,Gen Z,10,Retired
Abby,Female,68,1956,Millennial,3,Unemployed
Mara,Female,66,1958,Millennial,7,Retired
Ignace,Male,31,1993,Gen X,18,Employed
Afton,Female,53,1971,Millennial,1,Student
Benoite,Female,51,1973,Millennial,6,Unemployed
Vic,Male,60,1964,Baby Boomer,20,Unemployed
Homer,Polygender,20,2004,Gen Z,17,Unemployed
Janeta,Female,54,1970,Baby Boomer,20,Retired
Linzy,Female,55,1969,Baby Boomer,17,Unemployed
Dun,Male,52,1972,Gen X,6,Unemployed
Milissent,Female,55,1969,Gen X,11,Student
Rosita,Female,61,1963,Baby Boomer,11,Retired
Red,Male,44,1980,Gen Z,9,Employed
Robbie,Female,26,1998,Gen Z,15,Retired
Jenny,Female,29,1995,Gen Z,3,Student
Mel,Female,67,1957,Gen Z,7,Student
Star,Female,20,2004,Baby Boomer,7,Retired
Kiley,Male,38,1986,Gen Z,17,Retired
Artus,Male,17,2007,Gen Z,7,Student
Vachel,Male,35,1989,Baby Boomer,16,Retired
Trixie,Female,48,1976,Gen Z,0,Student
Penni,Female,51,1973,Gen Z,11,Student
Phil,Male,36,1988,Gen X,19,Retired
Lizabeth,Female,67,1957,Baby Boomer,5,Employed
Teodora,Female,64,1960,Millennial,1,Unemployed
Gearalt,Male,46,1978,Baby Boomer,8,Retired
Harbert,Male,21,2003,Millennial,16,Retired
Nita,Female,36,1988,Gen X,11,Unemployed
Guilbert,Male,54,1970,Gen Z,10,Employed
Briny,Non-binary,26,1998,Gen Z,8,Unemployed
Tilly,Female,45,1979,Gen X,13,Student
Codie,Female,19,2005,Gen X,8,Retired
Britt,Genderfluid,35,1989,Millennial,13,Retired
Gerri,Female,45,1979,Gen X,12,Unemployed
Sigismundo,Male,32,1992,Millennial,6,Retired
Sinclare,Male,69,1955,Baby Boomer,12,Retired
Bunnie,Female,56,1968,Gen X,2,Unemployed
Gunter,Male,20,2004,Gen X,17,Employed
Dick,Male,20,2004,Gen Z,4,Employed
Malynda,Female,19,2005,Millennial,0,Employed
Sara,Agender,50,1974,Gen X,8,Unemployed
Husain,Male,66,1958,Gen Z,20,Unemployed
Kerwinn,Male,27,1997,Gen Z,13,Unemployed
Lidia,Female,34,1990,Millennial,14,Employed
Brigit,Female,42,1982,Gen Z,18,Student
Victoir,Male,65,1959,Millennial,13,Employed
Josefina,Female,54,1970,Millennial,16,Employed
Matelda,Female,55,1969,Baby Boomer,11,Unemployed
Madella,Female,53,1971,Gen Z,8,Student
Kacy,Female,57,1967,Baby Boomer,17,Student
Lyle,Male,43,1981,Millennial,15,Student
Kimberlee,Female,21,2003,Gen Z,11,Employed
Axe,Male,70,1954,Millennial,14,Student
Christean,Female,51,1973,Millennial,14,Unemployed
Jourdan,Female,33,1991,Gen X,2,Retired
Camel,Female,16,2008,Gen Z,5,Retired
Malva,Female,35,1989,Gen Z,5,Retired
Vance,Male,60,1964,Millennial,19,Employed
Roseanna,Female,50,1974,Gen Z,10,Unemployed
Gregoire,Male,39,1985,Millennial,12,Student
Dorotea,Female,53,1971,Baby Boomer,13,Student
Candis,Female,17,2007,Millennial,10,Retired
Carmina,Non-binary,31,1993,Gen Z,15,Student
Kristien,Female,29,1995,Millennial,16,Student
Nerti,Female,52,1972,Millennial,10,Unemployed
Hayley,Female,19,2005,Gen X,17,Retired
Tuck,Male,48,1976,Gen X,1,Unemployed
Wally,Female,47,1977,Millennial,15,Employed
Clem,Male,63,1961,Gen X,11,Student
Roger,Male,19,2005,Gen X,10,Student
Shane,Male,30,1994,Baby Boomer,7,Retired
Jamaal,Male,34,1990,Baby Boomer,8,Unemployed
Polly,Female,70,1954,Millennial,20,Student
Perrine,Female,70,1954,Gen X,7,Employed
Ignaz,Male,30,1994,Gen Z,8,Retired
Dorry,Female,66,1958,Baby Boomer,6,Retired
Curry,Male,34,1990,Baby Boomer,5,Student
Neilla,Female,32,1992,Gen Z,4,Employed
Beverie,Female,34,1990,Baby Boomer,1,Employed
Jobi,Female,25,1999,Gen Z,20,Retired
Fina,Female,22,2002,Gen X,8,Employed
Sunny,Male,48,1976,Gen X,0,Retired
Rich,Male,67,1957,Baby Boomer,1,Student
Barrie,Male,38,1986,Gen Z,19,Unemployed
Eduardo,Male,30,1994,Millennial,12,Retired
Guss,Male,60,1964,Baby Boomer,5,Employed
Alley,Male,20,2004,Millennial,9,Employed
Vallie,Agender,68,1956,Gen X,7,Retired
Lucy,Female,61,1963,Gen Z,1,Student
Corrie,Male,42,1982,Millennial,12,Retired
Netti,Female,51,1973,Gen X,1,Student
Herculie,Male,39,1985,Baby Boomer,4,Employed
Janeen,Female,38,1986,Gen X,10,Unemployed
Elsi,Female,61,1963,Millennial,14,Employed
Timothee,Male,50,1974,Millennial,15,Retired
Fay,Female,20,2004,Baby Boomer,4,Retired
Fremont,Male,36,1988,Millennial,16,Retired
Patrica,Female,54,1970,Millennial,4,Unemployed
Sydney,Male,65,1959,Gen Z,18,Unemployed
Jane,Female,23,2001,Gen Z,2,Employed
Dru,Male,28,1996,Gen Z,19,Employed
Jehu,Male,53,1971,Baby Boomer,12,Employed
Raymund,Male,31,1993,Millennial,2,Unemployed
Chaddy,Male,25,1999,Baby Boomer,8,Student
Silva,Female,47,1977,Baby Boomer,17,Unemployed
Giulia,Female,19,2005,Gen Z,1,Student
Fernando,Male,16,2008,Gen Z,4,Retired
Teresita,Female,43,1981,Gen Z,5,Unemployed
Rudie,Bigender,25,1999,Gen X,10,Student
Klemens,Male,16,2008,Baby Boomer,5,Employed
Enrika,Female,24,2000,Gen Z,17,Student
Briano,Male,56,1968,Gen Z,13,Student
Ardys,Female,59,1965,Millennial,19,Retired
Piper,Female,25,1999,Gen X,20,Unemployed
Elsie,Female,16,2008,Millennial,13,Retired
Patton,Male,34,1990,Gen X,3,Unemployed
Anders,Male,20,2004,Gen Z,10,Student
Dorelia,Female,30,1994,Gen X,3,Employed
Eloisa,Female,62,1962,Baby Boomer,5,Unemployed
Suellen,Female,54,1970,Millennial,6,Employed
Mandie,Female,17,2007,Gen X,3,Employed
Ingram,Male,51,1973,Millennial,13,Unemployed
Justina,Female,70,1954,Baby Boomer,9,Student
Sauveur,Male,29,1995,Millennial,12,Employed
Tobias,Male,56,1968,Baby Boomer,20,Student
Lianna,Female,38,1986,Millennial,18,Student
Frazer,Male,30,1994,Millennial,16,Retired
Malissia,Female,37,1987,Gen X,16,Employed
Phillis,Agender,33,1991,Baby Boomer,6,Unemployed
Cammy,Male,55,1969,Baby Boomer,1,Employed
Welch,Male,70,1954,Gen X,0,Unemployed
Carney,Genderfluid,55,1969,Gen Z,3,Unemployed
Binky,Male,17,2007,Gen X,11,Retired
Pierette,Female,64,1960,Millennial,19,Retired
Lilyan,Female,57,1967,Millennial,18,Unemployed
Dorri,Female,44,1980,Gen X,13,Student
Diann,Female,45,1979,Millennial,17,Student
Brenn,Female,23,2001,Gen X,10,Student
Auria,Bigender,29,1995,Gen Z,13,Unemployed
Reade,Male,53,1971,Gen Z,12,Unemployed
Jerrie,Male,64,1960,Gen Z,14,Student
Tallia,Female,50,1974,Gen X,2,Retired
Gertruda,Female,32,1992,Baby Boomer,2,Retired
Bradan,Male,33,1991,Millennial,5,Retired
Chandal,Female,25,1999,Gen Z,18,Unemployed
Maud,Female,49,1975,Gen X,15,Retired
Maxwell,Male,47,1977,Gen Z,4,Retired
Ilsa,Female,24,2000,Baby Boomer,8,Unemployed
Winonah,Agender,68,1956,Gen X,8,Unemployed
Amye,Non-binary,25,1999,Gen X,20,Unemployed
Saundra,Female,52,1972,Gen Z,5,Student
Cirillo,Male,29,1995,Gen X,7,Retired
Waverly,Male,38,1986,Gen Z,13,Student
Kamillah,Female,45,1979,Gen Z,0,Student
Marquita,Female,66,1958,Gen X,2,Unemployed
Logan,Male,20,2004,Millennial,16,Unemployed
Park,Male,16,2008,Gen X,11,Student
Lila,Bigender,52,1972,Millennial,6,Retired
Patsy,Male,40,1984,Millennial,10,Retired
Merilyn,Female,64,1960,Baby Boomer,14,Unemployed
Bondy,Male,28,1996,Gen X,3,Student
Roley,Male,24,2000,Gen X,4,Retired
Valene,Female,36,1988,Gen Z,20,Employed
Florry,Female,28,1996,Gen Z,20,Student
Carlin,Male,58,1966,Gen Z,13,Retired
Lisha,Female,51,1973,Gen X,3,Employed
Bianca,Female,20,2004,Millennial,12,Retired
Gillie,Female,53,1971,Millennial,12,Unemployed
Lennard,Male,43,1981,Baby Boomer,7,Unemployed
Lanae,Female,19,2005,Millennial,6,Student
Kendal,Male,38,1986,Millennial,13,Retired
Deva,Female,30,1994,Baby Boomer,8,Retired
Brendis,Genderfluid,31,1993,Millennial,10,Employed
Leroi,Male,62,1962,Baby Boomer,3,Student
Garry,Genderqueer,42,1982,Gen Z,4,Student
Reiko,Female,66,1958,Baby Boomer,20,Unemployed
Harmonia,Female,52,1972,Millennial,14,Retired
